title,description,recipeLink,keywords,ratingCount,ratingValue,recipeCategory,recipeCuisine,keywords_merged,recipeCategory_merged,recipeCuisine_merged,soup,imageLink
German apple cake,"Apple cake is revered in Germany, and Rick Stein's classic apfelkuchen with a crunchy cinnamon topping will show you why. Any dessert apples will work for this, but avoid using Bramleys that won't keep their shape.",https://www.bbc.co.uk/food/recipes/german_apple_cake_59663,"all in one cakes, apple cakes, autumnal baking, the best cake, spiced cakes, world baking, afternoon tea, autumn, bonfire night, halloween, cake, apple, nut free, pregnancy friendly, vegetarian, autumn, winter, Rick Stein's Long Weekends",49.0,4.5,Cakes and baking,,allinonecakes applecakes autumnalbaking thebestcake spicedcakes worldbaking afternoontea autumn bonfirenight halloween cake apple nutfree pregnancyfriendly vegetarian autumn winter rickstein'slongweekends,cakesandbaking,nan,cakesandbaking nan allinonecakes applecakes autumnalbaking thebestcake spicedcakes worldbaking afternoontea autumn bonfirenight halloween cake apple nutfree pregnancyfriendly vegetarian autumn winter rickstein'slongweekends,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/german_apple_cake_59663_16x9.jpg
Dan Lepard's white bread,"Dan Lepard's white bread recipe uses his famous low-knead technique that is perfect for people who can't hang around all day. With a few quick turns, you can make an impressive crusty white loaf. ",https://www.bbc.co.uk/food/recipes/easy_white_bread_37005,"best bread, afternoon tea, lunch, picnic, white bread, strong white flour, egg free, nut free, pregnancy friendly, vegetarian",26.0,4.5,Cakes and baking,,bestbread afternoontea lunch picnic whitebread strongwhiteflour eggfree nutfree pregnancyfriendly vegetarian,cakesandbaking,nan,cakesandbaking nan bestbread afternoontea lunch picnic whitebread strongwhiteflour eggfree nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/easy_white_bread_37005_16x9.jpg
Mary Berry's hot cross buns,"Mary's going to be so proud that you made your own hot cross buns this Easter.  Lucky thing her recipe is completely foolproof.

For this recipe you will need a piping bag fitted witha  fine 3mm nozzle, but if you don't have a nozzle you could use a piping bag and snip the end off. ",https://www.bbc.co.uk/food/recipes/mary_berrys_hot_cross_65003,"easter baking, mary berry's easter, easter, spring recipes , hot cross buns, sultanas, nut free, pregnancy friendly, vegetarian, spring, Mary Berry's Easter Feast",66.0,4.2,Cakes and baking,British,easterbaking maryberry'seaster easter springrecipes hotcrossbuns sultanas nutfree pregnancyfriendly vegetarian spring maryberry'seasterfeast,cakesandbaking,british,cakesandbaking british easterbaking maryberry'seaster easter springrecipes hotcrossbuns sultanas nutfree pregnancyfriendly vegetarian spring maryberry'seasterfeast,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/mary_berrys_hot_cross_65003_16x9.jpg
Chocolate self-saucing pudding,"Here�s an easy molten chocolate pudding that's a real crowd-pleaser. The chocolate sauce gets poured on the top, but miraculously ends up on the bottom. How do they do that?
",https://www.bbc.co.uk/food/recipes/chocolate_pudding_87861,"christmas chocolate, easter desserts, easiest christmas desserts, easy dessert, easy dinner party, easy festive desserts, luxury christmas desserts, new year's desserts, roast dinner desserts, store cupboard puddings, boxing day, christmas, easter, mother's day, chocolate dessert, cocoa powder, nut free, pregnancy friendly, vegetarian",34.0,4.5,Desserts,British,christmaschocolate easterdesserts easiestchristmasdesserts easydessert easydinnerparty easyfestivedesserts luxurychristmasdesserts newyear'sdesserts roastdinnerdesserts storecupboardpuddings boxingday christmas easter mother'sday chocolatedessert cocoapowder nutfree pregnancyfriendly vegetarian,desserts,british,desserts british christmaschocolate easterdesserts easiestchristmasdesserts easydessert easydinnerparty easyfestivedesserts luxurychristmasdesserts newyear'sdesserts roastdinnerdesserts storecupboardpuddings boxingday christmas easter mother'sday chocolatedessert cocoapowder nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chocolate_pudding_87861_16x9.jpg
Lamb curry,"James Martin's easy lamb curry is an aromatic mix of fresh ginger, spices and coconut milk. Use cheaper neck fillets and slow cook them to perfection.",https://www.bbc.co.uk/food/recipes/lambcurrywithbasmati_84339,"quick lamb, autumn, eid al-fitr, father's day, winter, lamb curry, lamb neck, egg free, gluten free, pregnancy friendly, spring, summer, autumn, Saturday Kitchen",23.0,4.5,Main course,Indian,quicklamb autumn eidal-fitr father'sday winter lambcurry lambneck eggfree glutenfree pregnancyfriendly spring summer autumn saturdaykitchen,maincourse,indian,maincourse indian quicklamb autumn eidal-fitr father'sday winter lambcurry lambneck eggfree glutenfree pregnancyfriendly spring summer autumn saturdaykitchen,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/lambcurrywithbasmati_84339_16x9.jpg
Fennel and potato gratin,"This is the perfect combination of potatoes and vegetables all cooked in one dish for a hearty dinner party or Sunday lunch. It is so tasty I could eat it as a supper on its own!

You will need a shallow 2.4 litre/4 pint oven proof dish, about 23x30cm/9x13in.
",https://www.bbc.co.uk/food/recipes/fennel_and_potato_gratin_29963,"easter at mary berry's, easy dinner party, making the most of vegetables, mary berry's easter, mary berry's mother's day, mary berry's roast dinners, roast lamb menu, vegetarian christmas, boxing day, dinner party, easter, new year and hogmanay, roast dinner, spring recipes , winter, gratin, fennel, potato, egg free, gluten free, nut free, pregnancy friendly, vegetarian, Mary Berry Cooks",13.0,4.5,Side dishes,,easteratmaryberry's easydinnerparty makingthemostofvegetables maryberry'seaster maryberry'smother'sday maryberry'sroastdinners roastlambmenu vegetarianchristmas boxingday dinnerparty easter newyearandhogmanay roastdinner springrecipes winter gratin fennel potato eggfree glutenfree nutfree pregnancyfriendly vegetarian maryberrycooks,sidedishes,nan,sidedishes nan easteratmaryberry's easydinnerparty makingthemostofvegetables maryberry'seaster maryberry'smother'sday maryberry'sroastdinners roastlambmenu vegetarianchristmas boxingday dinnerparty easter newyearandhogmanay roastdinner springrecipes winter gratin fennel potato eggfree glutenfree nutfree pregnancyfriendly vegetarian maryberrycooks,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/fennel_and_potato_gratin_29963_16x9.jpg
Paneer jalfrezi,"According to a poll featured in the British Curry Club�s in-house magazine, the jalfrezi is now the most popular choice in Britain�s Indian restaurants. In many Indian restaurants, however, they list �jalfrezi�, �rogan josh�, �dopiaza�, and then simply change the main ingredient from mutton to chicken to vegetable, so you get the impression it�s always the same sauce. This paneer curry recipe is perfect for its main ingredient. 

This meal, if served as four portions, provides 258kcal, 16g protein, 13g carbohydrate (of which 11.5g sugars), 15g fat (of which 5g saturates), 4g fibre and 1.3g salt per portion.",https://www.bbc.co.uk/food/recipes/vegetarian_curry_with_66421,"quick, easy veggie curry, easy veggie curry, indian vegetarian, everyday vegetarian, rick stein�s vegetarian, takeaway favourites, baisakhi, diwali, easy family dinners, eid al-fitr, father's day, vegetable curry, paneer, egg free, gluten free, healthy, nut free, pregnancy friendly, vegetarian, Rick Stein's India",13.0,4.9,Main course,Indian,quick easyveggiecurry easyveggiecurry indianvegetarian everydayvegetarian rickstein�svegetarian takeawayfavourites baisakhi diwali easyfamilydinners eidal-fitr father'sday vegetablecurry paneer eggfree glutenfree healthy nutfree pregnancyfriendly vegetarian rickstein'sindia,maincourse,indian,maincourse indian quick easyveggiecurry easyveggiecurry indianvegetarian everydayvegetarian rickstein�svegetarian takeawayfavourites baisakhi diwali easyfamilydinners eidal-fitr father'sday vegetablecurry paneer eggfree glutenfree healthy nutfree pregnancyfriendly vegetarian rickstein'sindia,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/vegetarian_curry_with_66421_16x9.jpg
Fesenjoon ,"Fesenjoon is a nutty Persian chicken stew that boasts deliciously subtle layers of flavour thanks to pomegranate molasses, tomatoes and spices.",https://www.bbc.co.uk/food/recipes/yasmins_fesenjoon_91487,"flavours of the middle east, round the world on a plate, persian, ways with chicken thighs, dinner party, winter, chicken stew, chicken thigh, dairy free, egg free, gluten free, pregnancy friendly, Nigel Slater: Eating Together",11.0,4.9,Main course,Turkish and Middle Eastern,flavoursofthemiddleeast roundtheworldonaplate persian wayswithchickenthighs dinnerparty winter chickenstew chickenthigh dairyfree eggfree glutenfree pregnancyfriendly nigelslater:eatingtogether,maincourse,turkishandmiddleeastern,maincourse turkishandmiddleeastern flavoursofthemiddleeast roundtheworldonaplate persian wayswithchickenthighs dinnerparty winter chickenstew chickenthigh dairyfree eggfree glutenfree pregnancyfriendly nigelslater:eatingtogether,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/yasmins_fesenjoon_91487_16x9.jpg
Vegan porridge,"Make this easy vegan porridge recipe with almond milk, then experiment by adding peanut butter, banana or even topping it with crispy toast and marmalade.

Original: 233 kcal
Peanut butter: 572 kcal
Marmalade toast: 631 kcal
Banana and berries: 350 kcal",https://www.bbc.co.uk/food/recipes/vegan_porridge_37172,"quick, vegan breakfasts, perfect porridge, veganuary, porridge, oats, dairy free, egg free, vegan, vegetarian, Dirty Vegan",13.0,4.0,Brunch,,quick veganbreakfasts perfectporridge veganuary porridge oats dairyfree eggfree vegan vegetarian dirtyvegan,brunch,nan,brunch nan quick veganbreakfasts perfectporridge veganuary porridge oats dairyfree eggfree vegan vegetarian dirtyvegan,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/vegan_porridge_37172_16x9.jpg
Easy no-yeast pizza,"Freshly baked pizza tastes great, and this pizza dough without yeast requires no waiting around for the dough to rise. Just mix it up and you're ready to go. Try it with your favourite toppings.",https://www.bbc.co.uk/food/recipes/quick_cheats_pizza_88026,"quick, easy recipes for kids, cheap italian family favourites , cheat's pizza , easy bread, easy pizza, 10 recipes everyone should know, how to cook basic meals, meat-free pizzas, no-yeast pizzas, processed food swaps that won�t cost the earth, seriously fast food, shortcut dinners, takeaway favourites, take a tin of tomatoes, tv dinners, veggie fast food , easy family dinners, lunch, recipes for kids, student food, pizza, chopped tomatoes, mozzarella, self-raising flour, egg free, nut free, pregnancy friendly, vegetarian",95.0,4.4,Main course,,quick easyrecipesforkids cheapitalianfamilyfavourites cheat'spizza easybread easypizza 10recipeseveryoneshouldknow howtocookbasicmeals meat-freepizzas no-yeastpizzas processedfoodswapsthatwon�tcosttheearth seriouslyfastfood shortcutdinners takeawayfavourites takeatinoftomatoes tvdinners veggiefastfood easyfamilydinners lunch recipesforkids studentfood pizza choppedtomatoes mozzarella self-raisingflour eggfree nutfree pregnancyfriendly vegetarian,maincourse,nan,maincourse nan quick easyrecipesforkids cheapitalianfamilyfavourites cheat'spizza easybread easypizza 10recipeseveryoneshouldknow howtocookbasicmeals meat-freepizzas no-yeastpizzas processedfoodswapsthatwon�tcosttheearth seriouslyfastfood shortcutdinners takeawayfavourites takeatinoftomatoes tvdinners veggiefastfood easyfamilydinners lunch recipesforkids studentfood pizza choppedtomatoes mozzarella self-raisingflour eggfree nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/quick_cheats_pizza_88026_16x9.jpg
Back-to-front baked cheesecake ,Nadiya's back-to-front cheesecake has its base on the top as a chocolatey tiffin mixture. All the best cakes are a little back-to-front!,https://www.bbc.co.uk/food/recipes/back-to-front_baked_75383,"baked cheesecakes, christmas baking, father's day cakes , christmas desserts, luxury christmas desserts, new year's desserts, bonfire night, christmas, father's day, hanukkah, mother's day, cheesecake, cream cheese, pregnancy friendly, vegetarian, Nadiya's Family Favourites",11.0,4.6,Cakes and baking,,bakedcheesecakes christmasbaking father'sdaycakes christmasdesserts luxurychristmasdesserts newyear'sdesserts bonfirenight christmas father'sday hanukkah mother'sday cheesecake creamcheese pregnancyfriendly vegetarian nadiya'sfamilyfavourites,cakesandbaking,nan,cakesandbaking nan bakedcheesecakes christmasbaking father'sdaycakes christmasdesserts luxurychristmasdesserts newyear'sdesserts bonfirenight christmas father'sday hanukkah mother'sday cheesecake creamcheese pregnancyfriendly vegetarian nadiya'sfamilyfavourites,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/back-to-front_baked_75383_16x9.jpg
Oat pancakes with raspberries and honey,"These gluten-free oat pancakes are perfect sweet or savoury. 

Here, I�ve made a honey and raspberry syrup. The mixture of the soft, oaty pancakes, the honey and the raspberries has a decidedly Scottish flavour. ",https://www.bbc.co.uk/food/recipes/oat_pancakes_with_14049,"quick, gluten-free breakfasts, dairy-free diet fixes, desserts with a difference, gluten-free pancakes, fruity desserts, high-fibre breakfasts , burns night, father's day, healthy diet plans, mother's day, pancake day, pancakes, honey, raspberry, oats, dairy free, gluten free, pregnancy friendly, vegetarian, Simply Nigella",17.0,4.7,Brunch,,quick gluten-freebreakfasts dairy-freedietfixes dessertswithadifference gluten-freepancakes fruitydesserts high-fibrebreakfasts burnsnight father'sday healthydietplans mother'sday pancakeday pancakes honey raspberry oats dairyfree glutenfree pregnancyfriendly vegetarian simplynigella,brunch,nan,brunch nan quick gluten-freebreakfasts dairy-freedietfixes dessertswithadifference gluten-freepancakes fruitydesserts high-fibrebreakfasts burnsnight father'sday healthydietplans mother'sday pancakeday pancakes honey raspberry oats dairyfree glutenfree pregnancyfriendly vegetarian simplynigella,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/oat_pancakes_with_14049_16x9.jpg
Vegan chickpea curry,"Vegan, healthy and cheap: this tasty chickpea curry is perfect for a weekday dinner.

Each serving provides 246kcal, 10g protein, 26g carbohydrate (of which 6g sugars),	9g fat (of which 1g saturates), 9g fibre and	0.5g salt.",https://www.bbc.co.uk/food/recipes/chickpeacurry_2213,"quick, 10 recipes every student should know, budget dinners, cheap 30-minute meals for two , easy curry, easy vegan, easy veggie curry, easy veggie suppers , simplest ever suppers, vegan curry, vegan lunchbox, baisakhi, eid al-fitr, student food, veganuary, vegetable curry, chickpea, dairy free, egg free, healthy, nut free, pregnancy friendly, vegan, vegetarian",23.0,4.5,Main course,Indian,quick 10recipeseverystudentshouldknow budgetdinners cheap30-minutemealsfortwo easycurry easyvegan easyveggiecurry easyveggiesuppers simplesteversuppers vegancurry veganlunchbox baisakhi eidal-fitr studentfood veganuary vegetablecurry chickpea dairyfree eggfree healthy nutfree pregnancyfriendly vegan vegetarian,maincourse,indian,maincourse indian quick 10recipeseverystudentshouldknow budgetdinners cheap30-minutemealsfortwo easycurry easyvegan easyveggiecurry easyveggiesuppers simplesteversuppers vegancurry veganlunchbox baisakhi eidal-fitr studentfood veganuary vegetablecurry chickpea dairyfree eggfree healthy nutfree pregnancyfriendly vegan vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chickpeacurry_2213_16x9.jpg
Salmon en papillote with herb salad,"Cooking salmon in this way is easy. It also stops it from drying out and means you can infuse it with flavour. 
",https://www.bbc.co.uk/food/recipes/salmon_en_papillote_with_45201,"quick, salmon, egg free, Saturday Kitchen",12.0,4.3,Main course,French,quick salmon eggfree saturdaykitchen,maincourse,french,maincourse french quick salmon eggfree saturdaykitchen,
Healthy chicken and rice,"An easy, healthy one-pot chicken and rice recipe that will totally take the stress out of midweek cooking. 

Each serving provides 561 kcal, 48g protein, 59g carbohydrate (of which 7.5g sugars), 14g fat (of which 3.5g saturates), 4.5g fibre and 0.9g salt.",https://www.bbc.co.uk/food/recipes/one-pot_chicken_rice_09335,"cheap rice, easy and cheap one pots, healthy british classics, low-calorie chicken dishes, one-pot wonders, one pot chicken, easy family dinners, student food, pilaf, chicken thigh, dairy free, egg free, healthy, nut free, pregnancy friendly",30.0,4.5,Main course,,cheaprice easyandcheaponepots healthybritishclassics low-caloriechickendishes one-potwonders onepotchicken easyfamilydinners studentfood pilaf chickenthigh dairyfree eggfree healthy nutfree pregnancyfriendly,maincourse,nan,maincourse nan cheaprice easyandcheaponepots healthybritishclassics low-caloriechickendishes one-potwonders onepotchicken easyfamilydinners studentfood pilaf chickenthigh dairyfree eggfree healthy nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/one-pot_chicken_rice_09335_16x9.jpg
"Creamy chicken, bacon and basil pasta","Looking for a quick supper that's rich and hearty?  This easy, creamy chicken and bacon pasta recipe ticks all the boxes.",https://www.bbc.co.uk/food/recipes/creamychickenbaconan_87166,"quick, bacon pasta, chicken pasta, creamy chicken dishes, easy pasta, quick chicken, quick pasta, simplest ever suppers, ways with chicken thighs, christmas, easy family dinners, winter, chicken thigh, bacon, farfalle, egg free, nut free, pregnancy friendly, Ready Steady Cook",20.0,4.8,Main course,,quick baconpasta chickenpasta creamychickendishes easypasta quickchicken quickpasta simplesteversuppers wayswithchickenthighs christmas easyfamilydinners winter chickenthigh bacon farfalle eggfree nutfree pregnancyfriendly readysteadycook,maincourse,nan,maincourse nan quick baconpasta chickenpasta creamychickendishes easypasta quickchicken quickpasta simplesteversuppers wayswithchickenthighs christmas easyfamilydinners winter chickenthigh bacon farfalle eggfree nutfree pregnancyfriendly readysteadycook,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/creamychickenbaconan_87166_16x9.jpg
Lamb and lentil curry,"This rich and satisfying lamb and lentil curry uses a great-value cut of meat for a tasty dinner on a budget. This dish is great for making ahead, check the tips section for freezing instructions. 

This meal provides 490 kcal, 36g protein, 28g carbohydrate (of which 7g sugars), 26g fat (of which 9g saturates), 5g fibre and 2.3g salt per portion. 


",https://www.bbc.co.uk/food/recipes/lamb_and_lentil_curry_83678,"500-calorie dinners, slow-cooker curries, best curry, perfectly portioned dinners, crazy for kale, curry without rice, easy curry, easy lamb, easy slow cooker, healthy lamb, iron rich, low-calorie curries, perfect pulses, slow cooker family favourites, surprisingly cheap dishes, slow-cooker meals for four, student food, lamb curry, lamb neck, red lentil, dairy free, egg free, nut free, pregnancy friendly",14.0,4.6,Main course,Indian,500-caloriedinners slow-cookercurries bestcurry perfectlyportioneddinners crazyforkale currywithoutrice easycurry easylamb easyslowcooker healthylamb ironrich low-caloriecurries perfectpulses slowcookerfamilyfavourites surprisinglycheapdishes slow-cookermealsforfour studentfood lambcurry lambneck redlentil dairyfree eggfree nutfree pregnancyfriendly,maincourse,indian,maincourse indian 500-caloriedinners slow-cookercurries bestcurry perfectlyportioneddinners crazyforkale currywithoutrice easycurry easylamb easyslowcooker healthylamb ironrich low-caloriecurries perfectpulses slowcookerfamilyfavourites surprisinglycheapdishes slow-cookermealsforfour studentfood lambcurry lambneck redlentil dairyfree eggfree nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/lamb_and_lentil_curry_83678_16x9.jpg
Irish beef stew,"This beef stew recipe just requires a few minutes of frying and little bit of patience to let the oven work its magic.

Each serving provides 597 kcal, 42g protein, 71g carbohydrates (of which 21g sugars), 14.5g fat (of which 5.5g saturates), 8g fibre and 2.2g salt.",https://www.bbc.co.uk/food/recipes/donals_irish_beef_stew_85494,"10 absolute classics, perfectly portioned dinners, easy beef, easy stew, flask lunch ideas, irresistible irish food, autumn, st patrick's day menu, winter stews, autumn, st patrick's day, winter, beef stew, braising steak, egg free, nut free, pregnancy friendly",18.0,4.5,Main course,Irish,10absoluteclassics perfectlyportioneddinners easybeef easystew flasklunchideas irresistibleirishfood autumn stpatrick'sdaymenu winterstews autumn stpatrick'sday winter beefstew braisingsteak eggfree nutfree pregnancyfriendly,maincourse,irish,maincourse irish 10absoluteclassics perfectlyportioneddinners easybeef easystew flasklunchideas irresistibleirishfood autumn stpatrick'sdaymenu winterstews autumn stpatrick'sday winter beefstew braisingsteak eggfree nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/donals_irish_beef_stew_85494_16x9.jpg
Baked salmon and couscous parcels,"A foil or paper parcel of salmon, green beans, sun-dried tomatoes, olives and couscous. Use green beans and salmon straight from the freezer for ease. What could be simpler and more delicious?
",https://www.bbc.co.uk/food/recipes/salmon_couscous_parcels_05011,"quick, affordable 30-minute meals for four, easy recipes with sun-dried tomatoes, easy salmon, emergency freezer foods, healthy family meals, using frozen ingredients, easy family dinners, student food, salmon, dairy free, egg free, healthy, nut free, pregnancy friendly",15.0,4.6,Main course,,quick affordable30-minutemealsforfour easyrecipeswithsun-driedtomatoes easysalmon emergencyfreezerfoods healthyfamilymeals usingfrozeningredients easyfamilydinners studentfood salmon dairyfree eggfree healthy nutfree pregnancyfriendly,maincourse,nan,maincourse nan quick affordable30-minutemealsforfour easyrecipeswithsun-driedtomatoes easysalmon emergencyfreezerfoods healthyfamilymeals usingfrozeningredients easyfamilydinners studentfood salmon dairyfree eggfree healthy nutfree pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/salmon_couscous_parcels_05011_16x9.jpg
Easy chicken chow mein,"Cook this authentic Chinese stir-fry in less than ten minutes, adding any crisp seasonal vegetables you fancy.

Each serving provides 580 kcal, 49g protein, 67g carbohydrates (of which 8.5g sugars), 11g fat (of which 2g saturates), 7g fibre and 3.3g salt.",https://www.bbc.co.uk/food/recipes/chickenchowmein_89258,"quick, 10 recipes every student should know, 30 minute dinners, speedy stir-fries, cheap 15-minute meals for two , dinner for two, easy chinese, really easy student meals, how to cook basic meals, on the table in 20 minutes or less, quick chicken, quick chicken, really easy stir-fry, takeaway favourites, chinese new year, easy family dinners, stir-fry, noodles, chicken breast, dairy free, pregnancy friendly, Chinese Food Made Easy",53.0,4.7,Main course,Chinese,quick 10recipeseverystudentshouldknow 30minutedinners speedystir-fries cheap15-minutemealsfortwo dinnerfortwo easychinese reallyeasystudentmeals howtocookbasicmeals onthetablein20minutesorless quickchicken quickchicken reallyeasystir-fry takeawayfavourites chinesenewyear easyfamilydinners stir-fry noodles chickenbreast dairyfree pregnancyfriendly chinesefoodmadeeasy,maincourse,chinese,maincourse chinese quick 10recipeseverystudentshouldknow 30minutedinners speedystir-fries cheap15-minutemealsfortwo dinnerfortwo easychinese reallyeasystudentmeals howtocookbasicmeals onthetablein20minutesorless quickchicken quickchicken reallyeasystir-fry takeawayfavourites chinesenewyear easyfamilydinners stir-fry noodles chickenbreast dairyfree pregnancyfriendly chinesefoodmadeeasy,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chickenchowmein_89258_16x9.jpg
Mississippi mud pie,From the bourbon biscuit base to the fudge topping. This recipe for Mississippi mud pie is a chocolate-lovers delight.,https://www.bbc.co.uk/food/recipes/mississippimudpie_93659,"american pie, pies for pudding , thanksgiving pie, thanksgiving, pie, nut free, pregnancy friendly, vegetarian, Something for the Weekend",14.0,4.5,Cakes and baking,American,americanpie piesforpudding thanksgivingpie thanksgiving pie nutfree pregnancyfriendly vegetarian somethingfortheweekend,cakesandbaking,american,cakesandbaking american americanpie piesforpudding thanksgivingpie thanksgiving pie nutfree pregnancyfriendly vegetarian somethingfortheweekend,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/mississippimudpie_93659_16x9.jpg
Carnitas (Mexican pulled pork),"Pulled pork with a Mexican twist, these carnitas are crisped up with soft brown sugar for extra deliciousness!

Try serving with <a href=""http://www.bbc.co.uk/food/recipes/mac_and_cheese_30155"">mac and cheese</a>",https://www.bbc.co.uk/food/recipes/pulled_pork_carnitas_70985,"american snacks, comfort food, easy pork, emergency freezer foods, hairy bikers' comfort food, match food, dinner party, pulled pork, pork shoulder, egg free, nut free, Hairy Bikers: Route 66",20.0,4.7,Main course,Mexican,americansnacks comfortfood easypork emergencyfreezerfoods hairybikers'comfortfood matchfood dinnerparty pulledpork porkshoulder eggfree nutfree hairybikers:route66,maincourse,mexican,maincourse mexican americansnacks comfortfood easypork emergencyfreezerfoods hairybikers'comfortfood matchfood dinnerparty pulledpork porkshoulder eggfree nutfree hairybikers:route66,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/pulled_pork_carnitas_70985_16x9.jpg
Carrot and lentil soup,"Bursting with bold flavours and bright colours, this soup is packed full of protein to keep you full for longer, as well as iron, fibre, calcium and vitamins.

Each serving provides 306kcal, 15g protein,40 g carbohydrate (of which 12g sugars), 7.5g fat (of which 1.5g saturates), 9g fibre and 1.4g salt.",https://www.bbc.co.uk/food/recipes/carrot_and_lentil_soup_50261,"quick, cheap soups, filling soups, healthy and filling soup, store cupboard, healthy diet plans, spring recipes , veganuary, winter, vegetable soup, carrot, red lentil, egg free, healthy, nut free, pregnancy friendly, vegan, vegetarian",18.0,4.6,Light meals & snacks,,quick cheapsoups fillingsoups healthyandfillingsoup storecupboard healthydietplans springrecipes veganuary winter vegetablesoup carrot redlentil eggfree healthy nutfree pregnancyfriendly vegan vegetarian,lightmeals&snacks,nan,lightmeals&snacks nan quick cheapsoups fillingsoups healthyandfillingsoup storecupboard healthydietplans springrecipes veganuary winter vegetablesoup carrot redlentil eggfree healthy nutfree pregnancyfriendly vegan vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/carrot_and_lentil_soup_50261_16x9.jpg
Apple crumble cake,This comforting apple crumble cake is equally good with a cup of tea or warmed up for dessert. ,https://www.bbc.co.uk/food/recipes/apple_crumble_cake_23289,"apple cakes, autumnal baking, using up older fruits, afternoon tea, autumn, cake, apple, nut free, pregnancy friendly, vegetarian",14.0,4.6,Cakes and baking,,applecakes autumnalbaking usingupolderfruits afternoontea autumn cake apple nutfree pregnancyfriendly vegetarian,cakesandbaking,nan,cakesandbaking nan applecakes autumnalbaking usingupolderfruits afternoontea autumn cake apple nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/apple_crumble_cake_23289_16x9.jpg
Roast turkey crown,"Mary Berry shows you how to cook a roast turkey crown - deliciously flavoured with orange and thyme - in 10 easy steps. A wonderful option for Christmas dinner. To find exact <a href=""https://www.bbc.co.uk/food/articles/roast-calculator"">turkey crown cooking times</a> use our roast calculator.

This meal, if served as 10 portions, provides 335kcal, 56g protein, 7g carbohydrate (of which 3.5g sugars), 8g fat (of which 4g saturates), 0.4g fibre and 0.9g salt per portion.",https://www.bbc.co.uk/food/recipes/turkey_crown_with_orange_47645,"christmas dinner, mary berry's christmas, traditional thanksgiving menu, turkey crown, christmas, thanksgiving, roast turkey, turkey, egg free, healthy, nut free, autumn, winter, Mary Berry's Absolute Christmas Favourites",11.0,4.5,Main course,British,christmasdinner maryberry'schristmas traditionalthanksgivingmenu turkeycrown christmas thanksgiving roastturkey turkey eggfree healthy nutfree autumn winter maryberry'sabsolutechristmasfavourites,maincourse,british,maincourse british christmasdinner maryberry'schristmas traditionalthanksgivingmenu turkeycrown christmas thanksgiving roastturkey turkey eggfree healthy nutfree autumn winter maryberry'sabsolutechristmasfavourites,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/turkey_crown_with_orange_47645_16x9.jpg
Chicken and cheese quesadillas,Make quesadillas in 10 minutes with this quick and easy Mexican-inspired recipe from The Hairy Bikers.,https://www.bbc.co.uk/food/recipes/chicken_and_cheese_65643,"quick, 20 minute meals, dirty snacks , easy quesadillas, leftovers, leftover cheese, leftover chicken, quick mexican food, tv dinners, birthday party, easy family dinners, lunch, party food, recipes for kids, student food, quesadilla, chicken, egg free, nut free, pregnancy friendly, The Hairy Bikers' Cook Off",14.0,4.8,Light meals & snacks,Mexican,quick 20minutemeals dirtysnacks easyquesadillas leftovers leftovercheese leftoverchicken quickmexicanfood tvdinners birthdayparty easyfamilydinners lunch partyfood recipesforkids studentfood quesadilla chicken eggfree nutfree pregnancyfriendly thehairybikers'cookoff,lightmeals&snacks,mexican,lightmeals&snacks mexican quick 20minutemeals dirtysnacks easyquesadillas leftovers leftovercheese leftoverchicken quickmexicanfood tvdinners birthdayparty easyfamilydinners lunch partyfood recipesforkids studentfood quesadilla chicken eggfree nutfree pregnancyfriendly thehairybikers'cookoff,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chicken_and_cheese_65643_16x9.jpg
